"Date","Season","Team","Spread","Team2"
1105,2008,"maine",8.5,"richmond"
1105,2008,"tenn-martin",35,"memphis"
1106,2008,"gardner webb",-4,"alabama a&m"
1106,2008,"central arkansas",28,"kentucky"
1106,2008,"maine",3,"tenn-martin"
1106,2008,"richmond",29,"memphis"
1107,2008,"ohio valley",25,"buffalo"
1107,2008,"morgan state",26,"connecticut"
1107,2008,"alabama a&m",4,"central arkansas"
1107,2008,"gardner webb",25.5,"kentucky"
1108,2008,"ohio valley",11,"morgan state"
1108,2008,"buffalo",17.5,"connecticut"
1108,2008,"e central oklahoma",11,"denver"
1108,2008,"san francisco",17,"oklahoma"
1109,2008,"new mexico state",3.5,"ohio"
1109,2008,"fordham",-4,"columbia"
1109,2008,"drexel",-1.5,"pennsylvania"
1109,2008,"butler",-10.5,"ball state"
1109,2008,"florida atlantic",14,"rhode island"
1109,2008,"cleveland state",9.5,"south florida"
1109,2008,"brown",5.5,"eastern michigan"
1109,2008,"temple",17.5,"tennessee"
1109,2008,"depaul",4,"creighton"
1109,2008,"troy",18.5,"alabama"
1109,2008,"la-monroe",27,"kansas"
1109,2008,"new mexico",-2,"colorado"
1109,2008,"loyola marymount",9.5,"california-irvine"
1109,2008,"san diego",10,"hawaii"
1109,2008,"massachusetts",-5.5,"cal poly slo"
1109,2008,"northern illinois",14,"northern iowa"
1109,2008,"western carolina",1.5,"bowling green"
1109,2008,"belmont",8,"cincinnati"
1109,2008,"vmi",-8,"northern colorado"
1109,2008,"dartmouth",16,"air force"
1109,2008,"northwestern st.",4,"california-santa barbara"
1109,2008,"harvard",23,"stanford"
1109,2008,"liberty",7,"san diego state"
1109,2008,"portland",12,"fresno state"
1109,2008,"e central oklahoma",15,"san francisco"
1109,2008,"denver",25,"oklahoma"
1109,2008,"nc greensboro",17,"georgia tech"
1109,2008,"tennessee tech",7.5,"rutgers"
1109,2008,"elon",17,"virginia tech"
1109,2008,"siena",-4,"james madison"
1109,2008,"fairfield",12,"wake forest"
1109,2008,"loyola maryland",1.5,"towson state"
1109,2008,"sacramento state",22,"kansas state"
1109,2008,"wofford",23.5,"arkansas"
1109,2008,"morehead state",21,"houston"
1109,2008,"colorado state",4,"montana"
1109,2008,"idaho state",15,"iowa"
1109,2008,"jacksonville st",21,"georgia"
1109,2008,"eastern washington",23,"washington state"
1109,2008,"montana state",18.5,"unlv"
1109,2008,"portland state",23.5,"ucla"
1110,2008,"st. joseph's",23,"georgetown"
1110,2008,"cal riverside",19.5,"texas tech"
1110,2008,"byu",-8,"long beach state"
1110,2008,"missouri st",-2.5,"toledo"
1110,2008,"uab",-8.5,"georgia state"
1110,2008,"kent state",-5.5,"detroit"
1110,2008,"bradley",-5,"illinois-chicago"
1110,2008,"louisiana tech",22.5,"mississippi st"
1110,2008,"drake",10,"saint marys ca"
1110,2008,"belmont",-8,"bowling green"
1110,2008,"western carolina",8,"cincinnati"
1110,2008,"northern illinois",15,"massachusetts"
1110,2008,"cal poly slo",13,"northern iowa"
1110,2008,"dartmouth",6,"va military"
1110,2008,"northern colorado",16,"air force"
1110,2008,"western michigan",-4.5,"pacific"
1110,2008,"pepperdine",26,"oregon"
1110,2008,"harvard",16.5,"california-santa barbara"
1110,2008,"northwestern st.",20,"stanford"
1110,2008,"liberty",9.5,"fresno state"
1110,2008,"portland",11.5,"san diego state"
1110,2008,"col charleston",6,"nc wilmington"
1110,2008,"se missouri st",24,"xavier"
1110,2008,"austin peay",12,"vanderbilt"
1110,2008,"rider",6,"murray state"
1110,2008,"utah state",-3,"weber state"
1111,2008,"brown",13.5,"michigan"
1111,2008,"nevada",1,"central florida"
1111,2008,"northeastern",19,"illinois"
1111,2008,"saint louis",13,"pittsburgh"
1111,2008,"cal poly slo",-7,"northern illinois"
1111,2008,"massachusetts",3,"northern iowa"
1111,2008,"liberty",-1,"portland"
1111,2008,"san diego state",2,"fresno state"
1111,2008,"northwestern st.",-6,"harvard"
1111,2008,"california-santa barbara",14.5,"stanford"
1111,2008,"western michigan",-9,"pepperdine"
1111,2008,"pacific",16,"oregon"
1111,2008,"belmont",-3,"western carolina"
1111,2008,"bowling green",7.5,"cincinnati"
1111,2008,"hampton",10,"tulsa"
1111,2008,"north florida",32.5,"maryland"
1111,2008,"pennsylvania",5,"loyola maryland"
1111,2008,"tennessee tech",18.5,"florida"
1111,2008,"samford",13,"evansville"
1111,2008,"montana",13.5,"gonzaga"
1111,2008,"delaware",12,"marist"
1111,2008,"georgia tech",-8.5,"tennessee state"
1112,2008,"florida atlantic",16,"boston college"
1112,2008,"new mexico state",16.5,"duke"
1112,2008,"arkansas-little rock",1,"loyola marymount"
1112,2008,"north florida",15,"tulsa"
1112,2008,"hampton",16.5,"maryland"
1112,2008,"delaware state",3.5,"columbia"
1112,2008,"wisc green bay",15.5,"ohio state"
1112,2008,"siena",15,"syracuse"
1112,2008,"fairleigh dickinson",18,"st. joseph's"
1112,2008,"pacific",-9.5,"pepperdine"
1112,2008,"western michigan",16,"oregon"
1112,2008,"central missouri st",15,"fordham"
1112,2008,"central mich.igan",15,"missouri"
1112,2008,"cs san bernardino",8.5,"weber state"
1112,2008,"youngstown state",28.5,"ucla"
1112,2008,"georgia southern",16,"florida state"
1112,2008,"tennessee-chattanooga",24,"indiana"
1112,2008,"appalachian st",2.5,"nc charlotte"
1112,2008,"the citadel",22,"south carolina"
1112,2008,"furman",23.5,"clemson"
1112,2008,"eastern washington",18,"new mexico"
1113,2008,"vanderbilt",-5,"toledo"
1113,2008,"cleveland state",15.5,"george mason"
1113,2008,"south florida",-2.5,"buffalo"
1113,2008,"south alabama",9,"mississippi"
1113,2008,"rice",10,"tcu"
1113,2008,"idaho",28,"gonzaga"
1113,2008,"richmond",2.5,"east carolina"
1113,2008,"washington state",-9,"boise state"
1113,2008,"wyoming",-9,"denver"
1113,2008,"nevada",-2,"california-irvine"
1113,2008,"la-monroe",-100,"north michigan"
1113,2008,"chicago st.",25,"michigan state"
1113,2008,"utep",-10.5,"texas a&m corpus"
1113,2008,"oral roberts",15.5,"texas a&m"
1113,2008,"delaware state",7,"wi green bay"
1113,2008,"columbia",25,"ohio st."
1113,2008,"st. joseph's",7.5,"syracuse"
1113,2008,"fairleigh dickinson",13.5,"siena"
1113,2008,"central missouri st",5,"central mich."
1113,2008,"fordham",8,"missouri"
1113,2008,"youngstown st.",4,"weber st."
1113,2008,"cs san bernardino",32,"ucla"
1113,2008,"high point",5.5,"utah"
1113,2008,"nj tech",-100,"washington"
1113,2008,"loyola chicago",-4,"eastern illinois"
1113,2008,"northern arizona",20,"arizona"
1113,2008,"long beach state",6.5,"montana state"
1113,2008,"xavier",-4.5,"miami (oh)"
1114,2008,"rhode island",-6,"brown"
1114,2008,"wi milwaukee",2,"ball state"
1114,2008,"indiana state",15,"butler"
1114,2008,"detroit",10,"saint louis"
1114,2008,"yale",12.5,"massachusetts"
1114,2008,"oklahoma state",-6,"north texas"
1114,2008,"iowa state",9.5,"bradley"
1114,2008,"uc davis",17.5,"new mexico state"
1114,2008,"southern miss",7.5,"california"
1114,2008,"north michigan",5,"chicago st."
1114,2008,"la-monroe",22.5,"michigan st."
1114,2008,"oral roberts",-9.5,"texas a&m corpus"
1114,2008,"utep",14,"texas a&m"
1114,2008,"nj tech",-100,"high point"
1114,2008,"utah",7,"washington"
1114,2008,"north carolina",-10.5,"davidson"
1114,2008,"iona",5.5,"princeton"
1114,2008,"se missouri st",17,"illinois state"
1114,2008,"northern colorado",14.5,"iowa"
1114,2008,"idaho state",20,"byu"
1115,2008,"st. joseph's",17.5,"nc state"
1115,2008,"michigan",15,"georgetown"
1115,2008,"stanford",-10,"northwestern"
1115,2008,"clemson",4.5,"mississippi st"
1115,2008,"northeastern",18,"maryland"
1115,2008,"marist",7,"miami (fl)"
1115,2008,"temple",6,"providence"
1115,2008,"col charleston",14,"arkansas"
1115,2008,"lipscomb",8,"appalachian st"
1115,2008,"san jose state",11,"middle tenn st"
1115,2008,"gardner webb",12.5,"connecticut"
1115,2008,"oklahoma",8.5,"memphis"
1115,2008,"tennessee state",-4,"alaska fairbanks"
1115,2008,"colorado state",4,"oregon state"
1115,2008,"usc",-23,"the citadel"
1116,2008,"fordham",9.5,"syracuse"
1116,2008,"toledo",8.5,"old dominion"
1116,2008,"western michigan",1.5,"loyola chicago"
1116,2008,"arkansas state",9.5,"tulsa"
1116,2008,"uc davis",24.5,"texas"
1116,2008,"la.-lafayette",4,"louisiana tech"
1116,2008,"idaho",28.5,"washington state"
1116,2008,"illinois",-3,"hawaii"
1116,2008,"marist",12,"houston"
1116,2008,"miami (fl)",1,"va commonwealth"
1116,2008,"providence",6.5,"arkansas"
1116,2008,"col charleston",5,"temple"
1116,2008,"cleveland state",-2,"georgia southern"
1116,2008,"rhode island",-7,"south florida"
1116,2008,"florida atlantic",-10,"stetson"
1116,2008,"florida state",-3,"uab"
1116,2008,"nc charlotte",9,"georgia tech"
1116,2008,"illinois-chicago",5.5,"winthrop"
1116,2008,"baylor",-4,"wichita state"
1116,2008,"monmouth",18,"notre dame"
1116,2008,"appalachian st",-7,"san jose state"
1116,2008,"lipscomb",10,"middle tenn st"
1116,2008,"gardner webb",13.5,"oklahoma"
1116,2008,"connecticut",9.5,"memphis"
1116,2008,"st. bonaventure",-1.5,"loyola marymount"
1116,2008,"presbyterian",30,"new mexico"
1116,2008,"s car upstate",25,"akron"
1116,2008,"portland state",1.5,"iupui"
1116,2008,"canisius",16,"penn state"
1116,2008,"central mich.igan",3,"niagara"
1116,2008,"boise state",-2.5,"montana state"
1117,2008,"northwestern",12,"depaul"
1117,2008,"indiana state",6,"north texas"
1117,2008,"cornell",11,"ohio"
1117,2008,"james madison",-3.5,"dartmouth"
1117,2008,"rutgers",16,"florida"
1117,2008,"dayton",7.5,"george mason"
1117,2008,"wisc green bay",10.5,"massachusetts"
1117,2008,"usc",1,"south carolina"
1117,2008,"butler",-9.5,"evansville"
1117,2008,"northern illinois",22.5,"so illinois"
1117,2008,"colorado",18.5,"wisconsin"
1117,2008,"cal riverside",24.5,"gonzaga"
1117,2008,"duquesne",-4.5,"rice"
1117,2008,"virginia",6,"arizona"
1117,2008,"unlv",-1,"san diego"
1117,2008,"cs northridge",1.5,"pepperdine"
1117,2008,"utah state",3,"california-irvine"
1117,2008,"oregon",-14,"portland"
1117,2008,"santa clara",6.5,"nevada"
1117,2008,"south florida",-3.5,"florida atlantic"
1117,2008,"georgia southern",11,"uab"
