"Season","Date","WTeamID","WSeed","WScore","LTeamID","LSeed","LScore","WLoc","lower_team","higher_team","lower_team_wins","EM_diff","adj_off_diff","adj_def_diff","adj_tempo_diff","lower_team_court_adv","Spread"
2008,2008-03-20,1181,2,71,1125,15,70,"N",1125,1181,"NO",-22.87,-6.59999999999999,16.3,-2.90000000000001,"N",19.5
2008,2008-03-20,1242,1,85,1340,16,61,"N",1242,1340,"YES",29.81,12.3,-17.5,0.5,"N",-23
2008,2008-03-20,1266,6,74,1246,11,66,"N",1246,1266,"NO",-12.15,-7.5,4.7,-4.2,"N",4.5
2008,2008-03-20,1277,5,72,1396,12,61,"N",1277,1396,"YES",8.78,3,-5.7,-0.300000000000004,"N",-7
2008,2008-03-20,1323,5,68,1206,12,50,"N",1206,1323,"NO",-9.39,-3.89999999999999,5.40000000000001,-7.9,"N",7
2008,2008-03-20,1338,4,82,1331,13,63,"N",1331,1338,"NO",-9.64,-11.8,-2.09999999999999,-0.299999999999997,"N",9.5
2008,2008-03-20,1345,6,90,1124,11,79,"N",1124,1345,"NO",-3.48,5.2,8.7,3.19999999999999,"N",3
2008,2008-03-20,1390,3,77,1165,14,53,"N",1165,1390,"NO",-18.34,-3.5,14.8,4.50000000000001,"N",15
2008,2008-03-20,1401,9,67,1140,8,62,"N",1140,1401,"NO",-4.17,-4.89999999999999,-0.599999999999994,6,"N",1
2008,2008-03-20,1450,4,71,1457,13,40,"N",1450,1457,"YES",17.94,15.6,-2.3,-3.3,"N",-9
2008,2008-03-20,1452,7,75,1112,10,65,"N",1112,1452,"NO",-2.15,1.80000000000001,4,-0.299999999999997,"N",2
2008,2008-03-20,1458,3,71,1168,14,56,"N",1168,1458,"NO",-18.21,-1.2,17.1,10.5,"N",15
2008,2008-03-20,1462,3,73,1208,14,61,"N",1208,1462,"NO",-13.97,-13,1,0.900000000000006,"N",7.5
2008,2008-03-21,1116,9,86,1231,8,72,"N",1116,1231,"YES",-3.24,-3.19999999999999,0.100000000000009,0.299999999999997,"N",2
2008,2008-03-21,1139,7,81,1375,10,61,"N",1139,1375,"YES",8.17,3.60000000000001,-4.59999999999999,-5.3,"N",-4.5
2008,2008-03-21,1172,10,82,1211,7,76,"N",1172,1211,"YES",4.56,2.5,-2.09999999999999,0.299999999999997,"N",1
2008,2008-03-21,1207,2,66,1420,15,47,"N",1207,1420,"YES",21.7,2,-19.6,-3.2,"N",-16.5
2008,2008-03-21,1257,3,79,1129,14,61,"N",1129,1257,"NO",-21.52,-4.39999999999999,17.1,5.40000000000001,"N",13.5
2008,2008-03-21,1272,1,87,1426,16,63,"N",1272,1426,"YES",33.82,16.7,-17.1,-0.5,"N",-22
2008,2008-03-21,1280,8,76,1332,9,69,"N",1280,1332,"YES",1.11,-10.6,-11.6,0.799999999999997,"N",-3
2008,2008-03-21,1328,6,72,1386,11,64,"N",1328,1386,"YES",0.15,-5.59999999999999,-5.7,-0.899999999999999,"N",-1.5
2008,2008-03-21,1360,13,70,1163,4,69,"N",1163,1360,"NO",14.26,13.6,-0.700000000000003,4.09999999999999,"N",-12.5
2008,2008-03-21,1373,13,83,1435,4,62,"N",1373,1435,"YES",-4.66,-3.7,1.10000000000001,-0.600000000000009,"N",8
2008,2008-03-21,1397,2,72,1110,15,57,"N",1110,1397,"NO",-20.5,-8.3,12.3,-10.3,"N",18
2008,2008-03-21,1400,2,74,1122,15,54,"N",1122,1400,"NO",-25.39,-16,9.40000000000001,1.6,"N",15
2008,2008-03-21,1437,12,75,1155,5,69,"N",1155,1437,"NO",7.82,4.8,-3.09999999999999,-0.0999999999999943,"N",-7
2008,2008-03-21,1443,12,101,1179,5,99,"N",1179,1443,"NO",6.86,8.09999999999999,1.2,-5.3,"N",-4.5
2008,2008-03-22,1242,1,75,1424,8,56,"N",1242,1424,"YES",21.5,10.7,-10.8,2.9,"N",-13
2008,2008-03-22,1277,5,65,1338,4,54,"N",1277,1338,"YES",1.24,-0.700000000000003,-1.89999999999999,-0.600000000000001,"N",-1.5
2008,2008-03-22,1390,3,82,1266,6,81,"N",1266,1390,"NO",-0.59,1.7,2.19999999999999,3.2,"N",1
2008,2008-03-22,1417,1,51,1401,9,49,"N",1401,1417,"NO",-10.01,-5.7,4.2,-2.3,"N",9.5
2008,2008-03-22,1450,4,61,1323,5,41,"N",1323,1450,"NO",-5.25,-0.5,4.8,11.2,"N",1.5
2008,2008-03-22,1452,7,73,1181,2,67,"N",1181,1452,"NO",5.11,1.7,-3.39999999999999,7.7,"N",-4
2008,2008-03-22,1458,3,72,1243,11,55,"N",1243,1458,"NO",-7.78,0.700000000000003,8.5,8.6,"N",5
2008,2008-03-22,1462,3,85,1345,6,78,"N",1345,1462,"NO",-3.75,-6.8,-3,3.10000000000001,"N",2
2008,2008-03-23,1172,10,74,1207,2,70,"N",1172,1207,"YES",-1.95,1.8,3.7,5.7,"N",3.5
2008,2008-03-23,1257,3,78,1328,6,48,"N",1257,1328,"YES",10.94,3.59999999999999,-7.39999999999999,2.2,"N",-8
2008,2008-03-23,1272,1,77,1280,8,74,"N",1272,1280,"YES",14.74,9.8,-5,1.5,"N",-9
2008,2008-03-23,1314,1,108,1116,9,77,"N",1116,1314,"NO",-15.03,-10.7,4.3,-6,"N",10.5
2008,2008-03-23,1397,2,76,1139,7,71,"N",1139,1397,"NO",-2.2,0,2.2,-11.2,"N",6.5
2008,2008-03-23,1400,2,75,1274,7,72,"N",1274,1400,"NO",-9.71,-8.09999999999999,1.59999999999999,1.9,"N",4
2008,2008-03-23,1437,12,84,1373,13,72,"N",1373,1437,"NO",-6.22,-0.600000000000009,5.7,-0.5,"N",5
2008,2008-03-23,1443,12,72,1360,13,63,"N",1360,1443,"NO",-9.96,-10.3,-0.299999999999997,-5.2,"N",5.5
2008,2008-03-27,1257,3,79,1397,2,60,"N",1257,1397,"YES",3.24,-3.10000000000001,-6.3,-5.40000000000001,"N",-2
2008,2008-03-27,1314,1,68,1450,4,47,"N",1314,1450,"YES",5.9,7,1.10000000000001,14.2,"N",-8
2008,2008-03-27,1417,1,88,1443,12,78,"N",1417,1443,"YES",15.34,6.09999999999999,-9.2,-4.10000000000001,"N",-13.5
2008,2008-03-27,1462,3,79,1452,7,75,"N",1452,1462,"NO",-0.760000000000002,-2.7,-1.90000000000001,0,"N",1
2008,2008-03-28,1172,10,73,1458,3,56,"N",1172,1458,"YES",-3.07,3.5,6.60000000000001,5.1,"N",4.5
2008,2008-03-28,1242,1,72,1437,12,57,"N",1242,1437,"YES",21,11.7,-9.3,-1.3,"N",-11
2008,2008-03-28,1272,1,92,1277,5,74,"N",1272,1277,"YES",10.36,2.2,-8.2,4.8,"N",-5
2008,2008-03-28,1400,2,82,1390,3,62,"N",1390,1400,"NO",-2.34,-7,-4.59999999999999,-0.5,"N",1
2008,2008-03-29,1314,1,83,1257,3,73,"N",1257,1314,"NO",-4.81,-9,-4.2,-7.2,"N",5.5
2008,2008-03-29,1417,1,76,1462,3,57,"N",1417,1462,"YES",7.89,0.700000000000003,-7.10000000000001,0.299999999999997,"N",-6.5
2008,2008-03-30,1242,1,59,1172,10,57,"N",1172,1242,"NO",-11.6,-3.90000000000001,7.7,-0.599999999999994,"N",9.5
2008,2008-03-30,1272,1,85,1400,2,67,"N",1272,1400,"YES",6.42,-2.59999999999999,-9,4.2,"N",-3.5
2008,2008-04-05,1242,1,84,1314,1,66,"N",1242,1314,"YES",4.99,-1.19999999999999,-6.2,-5.7,"N",2
2008,2008-04-07,1242,1,75,1272,1,68,"N",1242,1272,"YES",3.7,2.90000000000001,-0.799999999999997,-1.3,"N",-1.5
2009,2009-03-17,1287,16,58,1106,16,43,"N",1106,1287,"NO",-3.73,-1.3,2.3,-1.7,"N",2.5
2009,2009-03-19,1163,1,103,1151,16,47,"N",1151,1163,"NO",-33.29,-11.7,21.6,2.40000000000001,"N",23
2009,2009-03-19,1181,2,86,1127,15,62,"N",1127,1181,"NO",-25.29,-15.2,10.1,0.900000000000006,"N",18
2009,2009-03-19,1211,4,77,1103,13,64,"N",1103,1211,"NO",-17.61,-14.6,3,-2.3,"N",13
2009,2009-03-19,1261,8,75,1139,9,71,"N",1139,1261,"NO",0.92,-1.2,-2.09999999999999,-3.3,"N",3
2009,2009-03-19,1268,10,84,1143,7,71,"N",1143,1268,"NO",3.82,6.8,3,-0.299999999999997,"N",-3
2009,2009-03-19,1272,2,81,1169,15,70,"N",1169,1272,"NO",-23.49,-10.6,12.8,5.89999999999999,"N",18.5
2009,2009-03-19,1276,10,62,1155,7,59,"N",1155,1276,"NO",4.87,4.2,-0.799999999999997,5.40000000000001,"N",-6
2009,2009-03-19,1314,1,101,1347,16,58,"N",1314,1347,"YES",32,22,-10,3.7,"N",-27
2009,2009-03-19,1328,2,82,1288,15,54,"N",1288,1328,"NO",-23.6,-18.2,5.39999999999999,-1.09999999999999,"N",17.5
2009,2009-03-19,1345,5,61,1320,12,56,"N",1320,1345,"NO",-12.14,0.0999999999999943,12.2,-5.10000000000001,"N",8.5
2009,2009-03-19,1400,7,76,1278,10,62,"N",1278,1400,"NO",-4.22,-4.10000000000001,0.0999999999999943,-0.900000000000006,"N",4.5
2009,2009-03-19,1401,9,79,1140,8,66,"N",1140,1401,"NO",5.09,0.900000000000006,-4.19999999999999,5.1,"N",-4.5
2009,2009-03-19,1417,6,65,1433,11,64,"N",1417,1433,"YES",10.31,9.40000000000001,-0.800000000000011,-0.5,"N",-9
2009,2009-03-19,1437,3,80,1110,14,67,"N",1110,1437,"NO",-19.19,-9.10000000000001,10.1,-7.59999999999999,"N",18
2009,2009-03-19,1443,12,76,1228,5,72,"N",1228,1443,"NO",10.62,-4.3,-14.9,-2.8,"N",-6
2009,2009-03-19,1449,4,71,1280,13,58,"N",1280,1449,"NO",-10.54,-5.3,5.2,-5,"N",4.5
2009,2009-03-20,1112,12,84,1428,5,71,"N",1112,1428,"YES",-1.84,6.90000000000001,8.89999999999999,-0.0999999999999943,"N",-1.5
2009,2009-03-20,1113,6,66,1396,11,57,"N",1113,1396,"YES",8.65,8.3,-0.299999999999997,-4.4,"N",-5
2009,2009-03-20,1156,13,84,1448,4,69,"N",1156,1448,"YES",-6.92,-6.3,0.599999999999994,-9.09999999999999,"N",8
2009,2009-03-20,1173,11,68,1452,6,60,"N",1173,1452,"YES",-13.98,-11.8,2.09999999999999,0.799999999999997,"N",8.5
2009,2009-03-20,1242,3,84,1295,14,74,"N",1242,1295,"YES",11.54,0.200000000000003,-11.3,-0.299999999999997,"N",-10.5
2009,2009-03-20,1257,1,74,1287,16,54,"N",1257,1287,"YES",25.3,9.2,-16.1,1.60000000000001,"N",-21
2009,2009-03-20,1266,6,58,1429,11,57,"N",1266,1429,"YES",5.9,0.399999999999991,-5.5,7.5,"N",-5
2009,2009-03-20,1277,2,77,1352,15,62,"N",1277,1352,"YES",22.88,12.3,-10.7,0.5,"N",-16.5
2009,2009-03-20,1281,3,78,1165,14,59,"N",1165,1281,"NO",-19.58,-8.09999999999999,11.5,-5.5,"N",13
2009,2009-03-20,1329,8,77,1397,9,75,"N",1329,1397,"YES",1.85,1.30000000000001,-0.600000000000009,1.59999999999999,"N",2.5
2009,2009-03-20,1373,9,74,1326,8,72,"N",1326,1373,"NO",4.41,3,-1.5,-8.2,"N",-3
2009,2009-03-20,1425,10,72,1130,7,55,"N",1130,1425,"NO",-7.06,3.2,10.2,1.59999999999999,"N",2.5
2009,2009-03-20,1458,12,61,1199,5,59,"N",1199,1458,"NO",-1.86,-7.39999999999999,-5.60000000000001,6.8,"N",-3
2009,2009-03-20,1462,4,77,1340,13,59,"N",1340,1462,"NO",-16.2,-1.8,14.3,-1,"N",11
2009,2009-03-21,1163,1,92,1401,9,66,"N",1163,1401,"YES",14.24,2.90000000000001,-11.3,3.2,"N",-9.5
2009,2009-03-21,1181,2,74,1400,7,69,"N",1181,1400,"YES",4.66,5.3,0.700000000000003,0.899999999999991,"N",-7
2009,2009-03-21,1211,4,83,1443,12,81,"N",1211,1443,"YES",16.41,6.40000000000001,-10,1.5,"N",-10.5
2009,2009-03-21,1272,2,89,1268,10,70,"N",1268,1272,"NO",-15.12,-2.8,12.2,0.399999999999991,"N",8.5
2009,2009-03-21,1314,1,84,1261,8,70,"N",1261,1314,"NO",-16.28,-11.7,4.5,-6.80000000000001,"N",10.5
2009,2009-03-21,1328,2,73,1276,10,63,"N",1276,1328,"NO",-9.84,-6.09999999999999,3.8,-4.09999999999999,"N",6.5
2009,2009-03-21,1345,5,76,1449,4,74,"N",1345,1449,"YES",-0.25,-2.59999999999999,-2.3,-6.3,"N",1
2009,2009-03-21,1437,3,89,1417,6,69,"N",1417,1437,"NO",0.0399999999999991,5.09999999999999,5.09999999999999,-3,"N",1.5
2009,2009-03-22,1112,12,71,1156,13,57,"N",1112,1156,"YES",4,12.4,8.5,1.2,"N",-2.5
2009,2009-03-22,1242,3,60,1173,11,43,"N",1173,1242,"NO",-13.6,-11.2,2.3,-2.7,"N",8.5
2009,2009-03-22,1257,1,79,1373,9,72,"N",1257,1373,"YES",14.13,0.900000000000006,-13.2,-3.8,"N",-11
2009,2009-03-22,1277,2,74,1425,10,69,"N",1277,1425,"YES",6.11,4.3,-1.89999999999999,2.8,"N",-4
2009,2009-03-22,1281,3,83,1266,6,79,"N",1266,1281,"NO",-3.79,0.5,4.3,-3.40000000000001,"N",3.5
2009,2009-03-22,1338,1,84,1329,8,76,"N",1329,1338,"NO",-10.63,-4.8,5.8,4.09999999999999,"N",7.5
2009,2009-03-22,1393,3,78,1113,6,67,"N",1113,1393,"NO",0.82,1.2,0.400000000000006,-10.6,"N",2.5
2009,2009-03-22,1462,4,60,1458,12,49,"N",1458,1462,"NO",-2.62,2.3,4.90000000000001,-6.7,"N",3.5
2009,2009-03-26,1163,1,72,1345,5,60,"N",1163,1345,"YES",7.41,5.5,-1.90000000000001,1.19999999999999,"N",-6
2009,2009-03-26,1281,3,102,1272,2,91,"N",1272,1281,"NO",3.86,-3.8,-7.59999999999999,-5,"N",-3
2009,2009-03-26,1338,1,60,1462,4,55,"N",1338,1462,"YES",8.72,10.2,1.5,-0.599999999999994,"N",-6.5
2009,2009-03-26,1437,3,77,1181,2,54,"N",1181,1437,"NO",0.419999999999998,3.09999999999999,2.7,-2,"N",-2.5
